Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3QKJELWORZZ7rUZDWeMWSA,"5rX2c1zow6hCph8PnnU3kF,3pO5VjZ4wOHCMBXOvbMISG","Água de Beber","The Astrud Gilberto Album","Astrud Gilberto,Tom Jobim",1965-01-01,138013,67,spotify:user:222b6a7rurhvs6p4ficngkzzy,2023-09-10T08:32:07Z,"bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,brazilian classical,latin classical,mpb,violao",0.653,0.319,4,-17.813,0,0.0364,0.439,0,0.0906,0.845,147.858,4
4b4NvbjxNOnv2NB8K6i56x,"1XtBBRDxcFx5DdryGhUWD1","Sei Lá...a Vida Tem Sempre Razão","One Love Brazil: Rhythm Party Compilation - Football 2014 We Are One - 120 Best Hits and World Anthems","Antonio Carlos Jobim Miucha",2014-05-30,154044,29,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-10-15T04:42:09Z,"",0.498,0.411,2,-13.08,0,0.13,0.455,0,0.314,0.623,75.917,4
4LxKSGFZOX66wGSsH0kFRE,"4EKJxXaAZapG14Q5FTZoxm","Sangue latino","Gigantes","Secos & Molhados",2003-01-03,128000,50,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-07-31T12:59:58Z,"bossa nova,mpb,psicodelia brasileira,velha guarda",0.574,0.389,2,-9.786,1,0.0295,0.256,0.00072,0.16,0.905,133.661,4
6Zo58fraaPpTUUdYHwH0sf,"10naVTwNjE50daQVrN0bXh","Por Enquanto - Ao Vivo","Acústico (Ao Vivo)","Cássia Eller",2001-01-15,143839,71,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T02:56:22Z,"brazilian rock,mpb",0.402,0.405,7,-10.719,1,0.0459,0.63,0,0.71,0.299,143.143,4
661Ns9G25zHdih4qVshBO7,"559vxOLTzlAv0zB77JMcdG","Anunciação","20 Grandes Sucessos De Alceu Valença","Alceu Valença",1998-01-01,288160,68,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T02:51:38Z,"manguebeat,mpb,nova musica pernambucana",0.539,0.745,9,-7.854,0,0.0279,0.451,0.000239,0.103,0.78,99.92,4
1RxAzmAuN6KldKrMeVKkf2,"2euX7vCVnJy3TVEGfc0RCl","Pra Dizer Adeus - Ao Vivo","Acústico MTV","Titãs",1997-09-22,222426,66,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T02:58:00Z,"hard rock brasileiro,mpb,pop rock brasileiro,rock nacional brasileiro,rock piauiense",0.544,0.805,7,-9.591,1,0.0334,0.0335,0,0.67,0.654,127.793,4
59ONqMEvrUq2iaiQbfRc3q,"5zq0SGWxrmzpTSXkBEQzMj","Por você","Balada MTV","Barão Vermelho",1990-09-25,212493,67,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T03:10:41Z,"mpb,rock nacional brasileiro",0.645,0.535,4,-8.555,1,0.0286,0.157,0.000018,0.72,0.5,136.464,4
5Z29IzMEP5TY8HsXWwPYWX,"6tw6EpC9RgmSRZiZg0n22t","Índios","Mais Do Mesmo","Legião Urbana",1998-01-01,258093,39,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T03:16:09Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.573,0.587,0,-9.604,1,0.03,0.079,0.253,0.207,0.678,147.529,4
3KYlOzxN5xO7eEauO1VF06,"4laQz4PaKeh2Hu6QL6evVD","Velha Infancia - 2004 Digital Remaster;","Tribalistas","Tribalistas",2002-01-01,250453,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T03:17:04Z,"brazilian rock,mpb,nova mpb",0.361,0.596,6,-8.152,0,0.0375,0.493,0.000138,0.162,0.574,84.847,3
2GplG03rw0CN2EMLzPJZAl,"4laQz4PaKeh2Hu6QL6evVD","Já Sei Namorar","Tribalistas","Tribalistas",2002-01-01,196986,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T03:17:27Z,"brazilian rock,mpb,nova mpb",0.67,0.822,9,-6.687,0,0.057,0.67,0.00115,0.132,0.833,145.56,4
