Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4XoP1AkbOurU9CeZ2rMEz2,"13ubrt8QOOCPljQ2FL1Kca,3TVXtAsR1Inumwj472S9r4,17lzZA2AlOHwCwFALHttmp,2YZyLoL8N0Wb9xBt1NhZWg","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","LONG.LIVE.A$AP (Deluxe Version)","A$AP Rocky,Drake,2 Chainz,Kendrick Lamar",2013-01-11,233786,3,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-23T16:13:04Z,"east coast hip hop,hip hop,rap,trap,canadian hip hop,canadian pop,pop rap,atl hip hop,southern hip hop,conscious hip hop,west coast rap",0.869,0.687,1,-6.816,1,0.263,0.0208,0.000001,0.114,0.668,96.006,4
3SShjQBczSt1HMpWA9zbwE,"55Aa2cqylxrFIXC767Z865,17lzZA2AlOHwCwFALHttmp","Rich As Fuck","I Am Not A Human Being II (Deluxe)","Lil Wayne,2 Chainz",2013-01-01,223173,67,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-26T23:40:52Z,"hip hop,new orleans rap,pop rap,rap,trap,atl hip hop,southern hip hop",0.617,0.588,1,-6.302,1,0.464,0.0369,0,0.514,0.878,132.164,4
52JyHLUiugFECIYBWM2qdh,"7dGJo4pcD2V6oG8kP0tJRR,55Aa2cqylxrFIXC767Z865","No Love","Recovery","Eminem,Lil Wayne",2010-06-18,299506,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-29T20:39:17Z,"detroit hip hop,hip hop,rap,new orleans rap,pop rap,trap",0.735,0.932,11,-2.86,1,0.224,0.128,0,0.175,0.318,129.583,4
1FvU97lrWOG2NRxErh6OZz,"6oMuImdp5ZcFhWP0ESe6mG,4O15NlyKLIASxsJ0PrXPfz","Bad and Boujee (feat. Lil Uzi Vert)","Bad and Boujee (feat. Lil Uzi Vert)","Migos,Lil Uzi Vert",2016-10-28,334466,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-31T12:08:26Z,"atl hip hop,hip hop,pop rap,rap,trap,melodic rap,philly rap,rage rap",0.897,0.661,8,-6.2,0,0.27,0.0633,0,0.116,0.193,127.081,4
0D21XvHcVsIvJM6FcGY2BT,"7LvoDJUNGnOrPdGRzVtOJ9","OOOUUU","OOOUUU","Young M.A",2016-05-20,234525,57,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-31T12:12:34Z,"alternative r&b,lgbtq+ hip hop,nyc rap,rap,trap",0.64,0.819,7,-4.108,1,0.455,0.533,0,0.156,0.623,166.012,4
4gmmRb6bZJffOOiww1JGTO,"1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp","No Heart","Savage Mode","21 Savage,Metro Boomin",2016-07-15,235040,75,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-31T12:29:17Z,"atl hip hop,hip hop,rap",0.906,0.444,4,-8.692,0,0.384,0.136,0.0000644,0.173,0.678,140.063,4
5uDASfU19gDxSjW8cnCaBp,"2hWs22BmQkK4czFtDLnar2,1rs3y69kDwkIdGJcOYngQt,36Tn5h23ysORlLKc42UXfe","Chill Bill (feat. J. Davi$ & Spooks)","Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone,J. Davi$,J Spooks",2016-06-17,177184,78,spotify:user:222b6a7rurhvs6p4ficngkzzy,2016-12-31T13:07:35Z,"san diego rap,viral trap",0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,4
1SGt65i9AnXYdDQt1AtDRH,"0Y5tJX1MQlPlqiwlOH1tJY,1RyvyyTE3xzB2ZywiAwp0i,17lzZA2AlOHwCwFALHttmp","3500 (feat. Future & 2 Chainz)","Rodeo","Travis Scott,Future,2 Chainz",2015-09-04,461840,69,spotify:user:222b6a7rurhvs6p4ficngkzzy,2017-01-07T18:51:38Z,"hip hop,rap,slap house,atl hip hop,southern hip hop,trap,pop rap",0.773,0.595,8,-6.062,0,0.161,0.114,0.00000247,0.13,0.338,123.968,4
76v0OHTbZGeOZYmaLtEDhQ,"7iZtZyCzp3LItcw1wtPI3D","This Could Be Us","SremmLife","Rae Sremmurd",2015-01-06,206306,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2017-01-13T23:49:35Z,"melodic rap,mississippi hip hop,pop rap,rap,trap",0.728,0.694,0,-5.07,0,0.161,0.281,0,0.118,0.74,143.078,4
0BU7nIcCZxYSE0hYcc5oZz,"46SHBwWsqBkxI7EeeBEQG7,21WS9wngs9AqFckK7yYJPM","Too Many Years","Lil Big Pac","Kodak Black,PnB Rock",2016-06-10,196336,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2017-02-03T08:24:43Z,"florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino",0.664,0.704,8,-6.859,0,0.0974,0.0233,0,0.112,0.633,147.067,4
